sessionId,kwhTotal,charging_fees,created,ended,startTime,endTime,chargeTimeHrs,weekday,platform,userId,stationId,locationId,managerVehicle,facilityType,Mon,Tues,Wed,Thurs,Fri,Sat,Sun
1000021,5.75,0.29,0015-10-22 14:52:35,0015-10-22 17:52:35,14,17,2.28,Wed,android,385577,474204,481066,1,4,0,0,1,0,0,0,0
1000022,12.26,0.00,0015-06-17 17:31:16,0015-06-17 22:31:16,17,22,4.12,Wed,ios,908577,250527,976902,1,3,0,0,1,0,0,0,0
1000023,3.28,0.40,0015-05-18 16:00:07,0015-05-18 18:00:07,16,18,1.07,Sat,ios,233636,801274,976902,1,3,0,0,0,0,0,1,0
1000024,2.31,0.00,0015-09-12 09:13:43,0015-09-12 12:13:43,09,12,2.12,Wed,ios,262060,371335,461655,0,2,0,0,1,0,0,0,0
1000025,6.21,4.19,0015-05-14 11:01:11,0015-05-14 15:01:11,11,15,3.51,Wed,ios,925622,920264,461655,0,3,0,0,1,0,0,0,0
1000026,11.49,0.00,0015-03-15 11:22:19,0015-03-15 15:22:19,11,15,3.79,Wed,ios,172792,371335,461655,0,3,0,0,1,0,0,0,0
1000027,23.68,0.00,0015-08-18 20:21:01,0015-08-18 22:21:01,20,22,1.42,Wed,ios,555673,878706,461655,1,3,0,0,1,0,0,0,0
1000028,1.42,0.00,0015-07-19 10:12:16,0015-07-19 11:12:16,10,11,0.72,Thu,ios,872840,129465,461655,0,1,0,0,0,0,0,0,0
1000029,4.60,0.00,0015-03-11 12:42:54,0015-03-11 14:42:54,12,14,1.48,Wed,ios,681343,207262,928191,1,2,0,0,1,0,0,0,0
1000030,7.53,0.00,0015-09-20 18:36:19,0015-09-20 21:36:19,18,21,2.56,Fri,android,437902,569889,461655,1,2,0,0,0,0,1,0,0
1000031,5.46,0.00,0015-05-26 18:47:10,0015-05-26 22:47:10,18,22,3.27,Fri,ios,346277,369001,493904,0,1,0,0,0,0,1,0,0
1000032,7.29,0.00,0015-05-16 11:39:54,0015-05-16 15:39:54,11,15,3.61,Wed,ios,519066,575971,948590,1,3,0,0,1,0,0,0,0
1000033,5.81,0.00,0015-01-04 17:49:27,0015-01-04 20:49:27,17,20,2.02,Thu,ios,227253,875343,747048,1,1,0,0,0,0,0,0,0
1000034,8.35,0.00,0015-08-25 15:57:28,0015-08-25 19:57:28,15,19,3.14,Mon,ios,879779,414088,566549,0,1,1,0,0,0,0,0,0
1000035,5.23,0.00,0015-09-25 11:33:31,0015-09-25 15:33:31,11,15,3.18,Fri,android,666390,878706,461655,1,3,0,0,0,0,1,0,0
1000036,5.67,0.00,0015-07-14 11:26:21,0015-07-14 14:26:21,11,14,2.93,Tue,ios,829308,431796,461655,1,2,0,0,0,0,0,0,0
1000037,23.68,0.00,0015-08-10 19:48:24,0015-08-10 23:48:24,19,23,3.90,Mon,ios,331251,414088,566549,1,2,1,0,0,0,0,0,0
1000038,3.56,0.00,0015-07-26 16:25:46,0015-07-26 18:25:46,16,18,1.74,Wed,ios,691807,369001,493904,0,3,0,0,1,0,0,0,0
1000039,3.52,0.00,0015-07-09 11:24:20,0015-07-09 14:24:20,11,14,2.00,Tue,ios,364525,549414,461655,0,1,0,0,0,0,0,0,0
1000040,9.11,0.00,0015-09-08 19:41:04,0015-09-08 23:41:04,19,23,3.65,Fri,ios,259784,955429,493904,1,3,0,0,0,0,1,0,0
1000041,4.18,0.00,0015-04-09 13:49:23,0015-04-09 15:49:23,13,15,1.76,Fri,android,213349,758780,399399,1,1,0,0,0,0,1,0,0
1000042,9.03,0.00,0015-08-23 12:12:04,0015-08-23 16:12:04,12,16,3.08,Mon,ios,944657,944515,976902,1,2,1,0,0,0,0,0,0
1000043,0.56,0.00,0015-09-12 12:04:32,0015-09-12 16:04:32,12,16,3.24,Sat,ios,968962,219054,814002,1,3,0,0,0,0,0,1,0
1000044,6.07,0.00,0015-05-20 16:51:58,0015-05-20 19:51:58,16,19,2.92,Tue,ios,971084,878706,461655,0,1,0,0,0,0,0,0,0
1000045,1.40,0.00,0015-07-22 15:24:21,0015-07-22 16:24:21,15,16,0.47,Wed,android,725113,594591,461655,0,3,0,0,1,0,0,0,0
1000046,4.64,0.00,0015-01-24 10:26:31,0015-01-24 13:26:31,10,13,2.97,Wed,ios,408528,366832,978130,1,3,0,0,1,0,0,0,0
1000047,23.68,0.00,0015-06-17 13:22:27,0015-06-17 17:22:27,13,17,51.83,Thu,ios,856321,944515,976902,1,3,0,0,0,0,0,0,0
1000048,5.15,0.00,0015-07-07 11:47:30,0015-07-07 14:47:30,11,14,2.21,Tue,ios,410636,914907,648339,1,1,0,0,0,0,0,0,0
1000049,3.99,0.00,0015-02-02 11:35:18,0015-02-02 15:35:18,11,15,3.39,Tue,ios,592198,944575,928191,1,2,0,0,0,0,0,0,0
1000050,2.22,0.00,0015-10-04 17:52:04,0015-10-04 20:52:04,17,20,2.54,Wed,android,418594,474204,481066,1,4,0,0,1,0,0,0,0
1000051,5.77,0.00,0015-08-20 15:14:49,0015-08-20 18:14:49,15,18,2.87,Wed,ios,751194,587514,648339,1,3,0,0,1,0,0,0,0
1000052,2.31,0.00,0015-04-09 16:42:05,0015-04-09 18:42:05,16,18,1.69,Mon,android,405407,366832,978130,1,2,1,0,0,0,0,0,0
1000053,8.91,0.00,0015-06-08 10:59:16,0015-06-08 14:59:16,10,14,3.68,Wed,ios,779094,728918,928191,1,4,0,0,1,0,0,0,0
1000054,5.05,0.00,0015-04-20 17:47:52,0015-04-20 21:47:52,17,21,3.01,Wed,ios,624783,562656,481066,1,1,0,0,1,0,0,0,0
1000055,17.11,0.00,0015-08-20 16:16:01,0015-08-20 18:16:01,16,18,1.23,Fri,ios,804938,929628,751082,0,1,0,0,0,0,1,0,0
1000056,4.29,0.00,0015-09-15 13:58:17,0015-09-15 15:58:17,13,15,1.85,Fri,ios,449499,369001,493904,1,3,0,0,0,0,1,0,0
1000057,1.80,0.00,0015-05-22 13:25:52,0015-05-22 17:25:52,13,17,3.59,Tue,android,639593,474204,481066,0,2,0,0,0,0,0,0,0
1000058,8.67,0.00,0015-09-17 09:23:39,0015-09-17 13:23:39,09,13,3.57,Tue,android,559398,414088,566549,0,1,0,0,0,0,0,0,0
1000059,6.63,0.00,0015-03-23 17:10:19,0015-03-23 20:10:19,17,20,2.96,Fri,ios,223172,612116,461655,0,3,0,0,0,0,1,0,0
1000060,23.68,0.00,0015-09-14 16:53:30,0015-09-14 04:53:30,16,04,35.23,Tue,ios,243139,260408,481066,0,3,0,0,0,0,0,0,0
1000061,0.14,0.00,0015-09-17 18:17:52,0015-09-17 19:17:52,18,19,0.05,Wed,ios,568238,568071,144857,1,1,0,0,1,0,0,0,0
1000062,23.68,0.00,0015-08-11 13:55:12,0015-08-11 01:55:12,13,01,35.77,Wed,ios,595951,728918,928191,0,3,0,0,1,0,0,0,0
1000063,23.68,0.00,0015-07-05 17:31:02,0015-07-05 19:31:02,17,19,1.49,Mon,android,579123,891421,144857,1,3,1,0,0,0,0,0,0
1000064,6.00,0.00,0015-09-26 10:16:21,0015-09-26 14:16:21,10,14,3.17,Tue,android,432043,874950,814002,0,3,0,0,0,0,0,0,0
1000065,23.68,0.00,0015-07-08 15:40:43,0015-07-08 20:40:43,15,20,4.29,Mon,ios,205389,474204,481066,1,2,1,0,0,0,0,0,0
1000066,4.13,0.00,0015-09-10 17:22:23,0015-09-10 20:22:23,17,20,2.62,Thu,ios,739098,955429,493904,0,3,0,0,0,0,0,0,0
1000067,6.83,0.67,0015-05-15 10:40:16,0015-05-15 13:40:16,10,13,2.70,Thu,android,462351,414088,566549,0,3,0,0,0,0,0,0,0
1000068,4.30,0.00,0015-09-10 13:12:24,0015-09-10 17:12:24,13,17,3.90,Wed,ios,123005,250527,976902,0,2,0,0,1,0,0,0,0
1000069,6.57,0.52,0015-06-24 16:03:58,0015-06-24 20:03:58,16,20,3.12,Thu,ios,767542,237105,948590,1,3,0,0,0,0,0,0,0
1000070,10.16,0.00,0015-09-05 16:40:06,0015-09-05 21:40:06,16,21,4.10,Wed,ios,194511,653450,503205,0,2,0,0,1,0,0,0,0
1000071,12.36,0.00,0015-07-12 17:33:32,0015-07-12 22:33:32,17,22,4.21,Wed,ios,882824,902592,566549,0,2,0,0,1,0,0,0,0
1000072,23.68,7.50,0015-07-08 17:55:43,0015-07-08 21:55:43,17,21,3.47,Mon,ios,662636,425476,928191,1,3,1,0,0,0,0,0,0
1000073,6.81,0.00,0015-09-21 12:23:06,0015-09-21 16:23:06,12,16,3.32,Wed,ios,779112,207262,928191,1,2,0,0,1,0,0,0,0
1000074,4.81,0.00,0015-09-05 12:02:02,0015-09-05 15:02:02,12,15,2.29,Mon,ios,803055,474204,481066,0,3,1,0,0,0,0,0,0
1000075,9.20,0.72,0015-07-14 16:41:06,0015-07-14 20:41:06,16,20,3.83,Thu,ios,347582,228137,503205,0,3,0,0,0,0,0,0,0
1000076,23.68,7.50,0015-08-12 20:03:25,0015-08-12 23:03:25,20,23,2.21,Tue,android,122394,955429,493904,1,2,0,0,0,0,0,0,0
1000077,2.99,0.00,0015-10-27 11:48:35,0015-10-27 13:48:35,11,13,1.99,Wed,android,102973,474204,481066,1,1,0,0,1,0,0,0,0
1000078,0.09,0.00,0015-10-04 17:42:55,0015-10-04 18:42:55,17,18,0.42,Sat,android,154944,944515,976902,1,3,0,0,0,0,0,1,0
1000079,2.93,0.09,0015-04-12 13:32:37,0015-04-12 15:32:37,13,15,1.38,Fri,ios,580292,632920,461655,0,3,0,0,0,0,1,0,0
1000080,3.62,0.00,0015-12-04 12:31:45,0015-12-04 17:31:45,12,17,4.17,Tue,ios,763829,369001,493904,1,3,0,0,0,0,0,0,0
1000081,3.44,0.00,0015-07-17 11:38:27,0015-07-17 13:38:27,11,13,1.31,Thu,ios,325468,507660,202527,1,2,0,0,0,0,0,0,0
1000082,6.60,0.00,0015-07-24 12:06:20,0015-07-24 15:06:20,12,15,2.61,Mon,android,972176,260408,481066,1,3,1,0,0,0,0,0,0
1000083,7.59,0.00,0015-09-02 10:37:35,0015-09-02 13:37:35,10,13,2.99,Fri,ios,856086,500856,976902,1,3,0,0,0,0,1,0,0
1000084,2.26,0.00,0015-06-05 13:42:30,0015-06-05 16:42:30,13,16,2.04,Wed,ios,946432,445920,125372,1,2,0,0,1,0,0,0,0
1000085,12.85,0.00,0015-09-18 16:01:38,0015-09-18 21:01:38,16,21,4.38,Fri,android,456331,562656,481066,1,3,0,0,0,0,1,0,0
1000086,2.71,0.00,0015-04-24 10:40:01,0015-04-24 12:40:01,10,12,1.24,Tue,ios,440140,474204,481066,0,3,0,0,0,0,0,0,0
1000087,2.26,0.00,0015-04-20 11:03:43,0015-04-20 13:03:43,11,13,1.13,Fri,ios,637234,728918,928191,1,3,0,0,0,0,1,0,0
1000088,23.68,0.00,0015-06-22 13:19:02,0015-06-22 16:19:02,13,16,2.03,Fri,android,901280,623134,620906,1,2,0,0,0,0,1,0,0
1000089,4.65,0.00,0015-01-13 11:34:45,0015-01-13 14:34:45,11,14,2.06,Wed,ios,557409,371335,461655,1,2,0,0,1,0,0,0,0
1000090,4.30,0.25,0015-09-23 15:40:26,0015-09-23 18:40:26,15,18,2.25,Mon,ios,479430,366832,978130,1,2,1,0,0,0,0,0,0
1000091,5.38,0.00,0015-05-13 13:55:19,0015-05-13 17:55:19,13,17,3.54,Mon,android,303322,738900,976902,0,3,1,0,0,0,0,0,0
1000092,2.92,0.00,0015-08-08 17:06:09,0015-08-08 20:06:09,17,20,2.14,Wed,ios,758452,369001,493904,1,1,0,0,1,0,0,0,0
1000093,23.68,1.95,0015-09-19 18:41:40,0015-09-19 12:41:40,18,12,41.60,Thu,ios,935012,638536,868085,1,2,0,0,0,0,0,0,0
1000094,5.54,0.22,0015-07-02 13:23:53,0015-07-02 16:23:53,13,16,2.24,Tue,ios,930281,987396,978130,0,2,0,0,0,0,0,0,0
1000095,1.28,0.00,0015-09-20 11:30:32,0015-09-20 13:30:32,11,13,1.65,Tue,ios,629057,207262,928191,0,2,0,0,0,0,0,0,0
1000096,4.12,0.00,0015-08-20 13:10:23,0015-08-20 16:10:23,13,16,2.47,Tue,android,778748,237105,948590,1,2,0,0,0,0,0,0,0
1000097,3.96,0.00,0015-08-28 11:42:58,0015-08-28 15:42:58,11,15,3.11,Wed,ios,787923,280415,399399,0,3,0,0,1,0,0,0,0
1000098,2.79,0.00,0015-08-13 12:41:50,0015-08-13 15:41:50,12,15,2.36,Wed,ios,197992,818217,700367,0,1,0,0,1,0,0,0,0
1000099,4.24,0.00,0015-06-07 11:21:49,0015-06-07 14:21:49,11,14,2.77,Fri,android,908320,891421,144857,1,3,0,0,0,0,1,0,0
1000100,3.28,0.00,0015-07-20 18:08:38,0015-07-20 21:08:38,18,21,2.48,Thu,ios,558933,920264,461655,1,3,0,0,0,0,0,0,0
1000101,5.87,0.00,0015-08-25 15:47:50,0015-08-25 18:47:50,15,18,2.67,Wed,ios,485709,638536,868085,0,1,0,0,1,0,0,0,0
1000102,23.68,0.00,0015-07-17 17:33:26,0015-07-17 15:33:26,17,15,21.08,Fri,android,489244,878706,461655,1,2,0,0,0,0,1,0,0
1000103,5.74,0.00,0015-09-25 11:10:17,0015-09-25 14:10:17,11,14,2.67,Tue,android,466566,871619,125372,0,2,0,0,0,0,0,0,0
1000104,1.64,0.00,0015-07-03 12:23:14,0015-07-03 13:23:14,12,13,0.46,Fri,ios,400814,425476,928191,0,3,0,0,0,0,1,0,0
1000105,1.78,0.00,0015-09-20 13:00:57,0015-09-20 15:00:57,13,15,1.11,Fri,ios,216587,803398,144857,0,3,0,0,0,0,1,0,0
1000106,4.43,0.00,0015-04-20 16:29:04,0015-04-20 18:29:04,16,18,1.39,Wed,android,250551,489543,868085,1,3,0,0,1,0,0,0,0
1000107,23.68,0.00,0015-06-22 11:05:33,0015-06-22 17:05:33,11,17,29.57,Tue,ios,509420,236840,620906,0,4,0,0,0,0,0,0,0
1000108,6.47,0.00,0015-07-12 17:50:04,0015-07-12 20:50:04,17,20,2.40,Tue,ios,146489,803398,144857,1,3,0,0,0,0,0,0,0
1000109,2.24,0.00,0015-08-23 16:30:40,0015-08-23 18:30:40,16,18,1.85,Wed,ios,929538,369001,493904,1,3,0,0,1,0,0,0,0
1000110,1.48,0.00,0015-09-18 20:30:16,0015-09-18 21:30:16,20,21,0.60,Tue,ios,386488,369001,493904,1,2,0,0,0,0,0,0,0
1000111,5.90,0.65,0015-09-13 18:21:11,0015-09-13 21:21:11,18,21,2.80,Wed,ios,731718,803398,144857,0,3,0,0,1,0,0,0,0
1000112,6.08,0.00,0015-06-10 12:19:28,0015-06-10 16:19:28,12,16,3.11,Tue,ios,469685,369001,493904,0,1,0,0,0,0,0,0,0
1000113,7.00,0.00,0015-08-22 09:40:25,0015-08-22 12:40:25,09,12,2.45,Fri,ios,919264,474204,481066,1,2,0,0,0,0,1,0,0
1000114,3.34,0.00,0015-05-19 12:02:38,0015-05-19 14:02:38,12,14,1.67,Tue,ios,484774,369001,493904,1,3,0,0,0,0,0,0,0
1000115,4.83,0.00,0015-05-16 16:33:24,0015-05-16 21:33:24,16,21,4.21,Thu,ios,827691,955429,493904,0,2,0,0,0,0,0,0,0
1000116,23.68,4.05,0015-04-23 13:28:05,0015-04-23 17:28:05,13,17,3.75,Fri,ios,414527,414088,566549,0,3,0,0,0,0,1,0,0
1000117,23.68,0.00,0015-09-17 17:14:07,0015-09-17 10:14:07,17,10,40.18,Thu,ios,590110,664306,868085,0,2,0,0,0,0,0,0,0
1000118,8.03,0.00,0015-08-23 12:46:30,0015-08-23 15:46:30,12,15,2.88,Fri,android,571832,404112,399399,1,2,0,0,0,0,1,0,0
1000119,23.68,0.78,0015-04-19 14:11:49,0015-04-19 12:11:49,14,12,21.08,Fri,android,438334,474204,481066,0,3,0,0,0,0,1,0,0
1000120,7.17,0.00,0015-09-03 11:16:12,0015-09-03 15:16:12,11,15,3.20,Wed,android,276827,280221,976902,1,3,0,0,1,0,0,0,0
1000121,8.75,0.00,0015-05-11 18:53:59,0015-05-11 21:53:59,18,21,2.99,Thu,android,782759,738900,976902,1,2,0,0,0,0,0,0,0
1000122,23.57,0.00,0015-08-18 18:18:41,0015-08-18 06:18:41,18,06,11.34,Fri,ios,162823,250527,976902,1,3,0,0,0,0,1,0,0
1000123,10.54,0.52,0015-07-28 10:45:20,0015-07-28 14:45:20,10,14,3.50,Fri,ios,589131,875343,747048,1,3,0,0,0,0,1,0,0
1000124,6.40,0.00,0015-04-28 19:39:26,0015-04-28 22:39:26,19,22,2.12,Fri,android,900190,653450,503205,1,3,0,0,0,0,1,0,0
1000125,4.22,0.00,0015-07-03 13:25:32,0015-07-03 16:25:32,13,16,2.69,Sun,android,983791,250527,976902,0,2,0,0,0,0,0,0,1
1000126,6.60,0.00,0015-07-09 12:46:23,0015-07-09 16:46:23,12,16,3.60,Fri,ios,177103,955429,493904,1,4,0,0,0,0,1,0,0
1000127,23.68,0.00,0015-08-20 15:07:08,0015-08-20 22:07:08,15,22,30.01,Fri,android,308727,911231,202527,0,2,0,0,0,0,1,0,0
1000128,6.40,0.00,0015-03-26 16:30:33,0015-03-26 19:30:33,16,19,2.69,Fri,android,746447,405157,976902,0,3,0,0,0,0,1,0,0
1000129,0.62,0.00,0015-06-23 14:36:19,0015-06-23 17:36:19,14,17,2.74,Wed,android,860557,728918,928191,0,3,0,0,1,0,0,0,0
1000130,1.43,0.00,0015-08-25 16:37:36,0015-08-25 19:37:36,16,19,2.05,Thu,ios,498658,575971,948590,1,2,0,0,0,0,0,0,0
1000131,4.99,0.00,0015-03-01 10:28:20,0015-03-01 13:28:20,10,13,2.59,Thu,ios,989587,405157,976902,0,3,0,0,0,0,0,0,0
1000132,23.48,0.00,0015-04-22 12:30:33,0015-04-22 15:30:33,12,15,2.48,Tue,ios,855944,414088,566549,0,2,0,0,0,0,0,0,0
1000133,23.68,0.00,0015-06-09 19:35:19,0015-06-09 22:35:19,19,22,2.04,Mon,android,432441,955429,493904,1,2,1,0,0,0,0,0,0
1000134,23.68,0.00,0015-09-19 11:43:34,0015-09-19 14:43:34,11,14,2.49,Fri,ios,401602,594591,461655,0,3,0,0,0,0,1,0,0
1000135,10.46,0.00,0015-09-07 17:12:52,0015-09-07 20:12:52,17,20,2.92,Tue,android,354235,405157,976902,1,2,0,0,0,0,0,0,0
1000136,3.70,0.00,0015-05-11 10:45:30,0015-05-11 12:45:30,10,12,1.33,Mon,ios,598807,943765,461655,1,3,1,0,0,0,0,0,0
1000137,6.65,0.00,0015-09-25 16:05:41,0015-09-25 20:05:41,16,20,3.02,Wed,ios,978292,612116,461655,1,3,0,0,1,0,0,0,0
1000138,1.15,0.00,0015-12-24 13:55:59,0015-12-24 16:55:59,13,16,2.25,Mon,ios,576419,943765,461655,0,3,1,0,0,0,0,0,0
1000139,6.61,0.00,0015-07-15 17:17:12,0015-07-15 21:17:12,17,21,3.75,Fri,ios,453487,575971,948590,0,3,0,0,0,0,1,0,0
1000140,2.77,0.00,0015-09-13 17:52:27,0015-09-13 20:52:27,17,20,2.85,Fri,android,360096,474204,481066,1,3,0,0,0,0,1,0,0
1000141,0.49,0.00,0015-07-19 12:46:36,0015-07-19 13:46:36,12,13,0.20,Wed,android,525110,474204,481066,0,3,0,0,1,0,0,0,0
1000142,3.73,0.37,0015-09-21 16:58:18,0015-09-21 19:58:18,16,19,2.46,Mon,ios,836038,451479,648339,1,3,1,0,0,0,0,0,0
1000143,8.73,0.00,0015-07-08 11:43:48,0015-07-08 15:43:48,11,15,3.09,Fri,ios,217659,664306,868085,1,1,0,0,0,0,1,0,0
1000144,6.81,0.00,0015-07-11 10:54:33,0015-07-11 13:54:33,10,13,2.65,Fri,ios,158338,782629,517854,1,3,0,0,0,0,1,0,0
1000145,0.58,0.00,0015-07-26 13:19:46,0015-07-26 14:19:46,13,14,0.36,Fri,android,834406,369001,493904,1,3,0,0,0,0,1,0,0
1000146,2.23,0.00,0015-09-02 18:18:26,0015-09-02 20:18:26,18,20,1.84,Sun,ios,501058,787792,648339,1,3,0,0,0,0,0,0,1
1000147,5.86,0.00,0015-07-28 19:34:08,0015-07-28 23:34:08,19,23,3.26,Mon,ios,333507,280221,976902,0,2,1,0,0,0,0,0,0
1000148,6.00,0.00,0015-10-14 16:34:24,0015-10-14 20:34:24,16,20,3.80,Thu,android,218326,911231,202527,1,2,0,0,0,0,0,0,0
1000149,0.61,0.00,0015-08-08 18:13:04,0015-08-08 20:13:04,18,20,1.33,Thu,ios,521805,369001,493904,1,2,0,0,0,0,0,0,0
1000150,9.76,0.00,0015-09-10 10:14:52,0015-09-10 15:14:52,10,15,4.24,Fri,ios,250219,758780,399399,0,3,0,0,0,0,1,0,0
1000151,10.17,0.00,0015-07-19 14:56:47,0015-07-19 19:56:47,14,19,4.19,Fri,ios,803953,404112,399399,1,1,0,0,0,0,1,0,0
1000152,8.16,0.00,0015-08-06 11:48:34,0015-08-06 14:48:34,11,14,2.74,Fri,ios,689704,920264,461655,1,1,0,0,0,0,1,0,0
1000153,12.82,0.00,0015-07-11 11:41:05,0015-07-11 16:41:05,11,16,4.31,Fri,ios,806396,955429,493904,0,3,0,0,0,0,1,0,0
1000154,8.35,0.00,0015-03-22 15:35:13,0015-03-22 18:35:13,15,18,2.75,Tue,ios,877493,369001,493904,1,1,0,0,0,0,0,0,0
1000155,3.65,0.00,0015-07-07 15:25:58,0015-07-07 18:25:58,15,18,2.09,Sun,ios,477114,932939,868085,1,3,0,0,0,0,0,0,1
1000156,3.42,0.00,0015-04-27 13:20:58,0015-04-27 15:20:58,13,15,1.97,Fri,ios,680189,517464,144857,0,3,0,0,0,0,1,0,0
1000157,4.72,0.40,0015-07-13 12:36:53,0015-07-13 15:36:53,12,15,2.11,Thu,ios,875520,902592,566549,1,2,0,0,0,0,0,0,0
1000158,23.68,2.65,0015-09-16 16:11:58,0015-09-16 21:11:58,16,21,4.03,Tue,ios,150871,369001,493904,0,2,0,0,0,0,0,0,0
1000159,2.06,0.00,0015-09-01 16:13:32,0015-09-01 19:13:32,16,19,2.69,Fri,ios,116495,612116,461655,1,2,0,0,0,0,1,0,0
1000160,9.59,0.00,0015-02-10 11:01:32,0015-02-10 15:01:32,11,15,3.76,Fri,ios,256130,474204,481066,1,3,0,0,0,0,1,0,0
1000161,4.24,0.00,0015-05-03 17:23:25,0015-05-03 20:23:25,17,20,2.70,Thu,android,999908,236379,928191,0,3,0,0,0,0,0,0,0
1000162,3.76,0.00,0015-07-21 13:00:44,0015-07-21 15:00:44,13,15,1.78,Tue,ios,199994,875343,747048,0,1,0,0,0,0,0,0,0
1000163,0.66,1.02,0015-05-19 16:30:17,0015-05-19 17:30:17,16,17,0.76,Mon,ios,429761,369001,493904,1,1,1,0,0,0,0,0,0
1000164,6.82,0.00,0015-04-03 17:19:10,0015-04-03 20:19:10,17,20,3.00,Wed,ios,875679,414088,566549,1,3,0,0,1,0,0,0,0
1000165,1.84,0.00,0015-08-02 19:06:27,0015-08-02 22:06:27,19,22,2.07,Sat,ios,442230,237105,948590,1,1,0,0,0,0,0,1,0
1000166,8.38,0.00,0015-10-13 12:27:11,0015-10-13 16:27:11,12,16,3.33,Wed,ios,186023,594591,461655,1,2,0,0,1,0,0,0,0
1000167,0.16,0.00,0015-09-12 12:06:05,0015-09-12 13:06:05,12,13,0.10,Wed,android,570646,474204,481066,1,3,0,0,1,0,0,0,0
1000168,4.39,0.00,0015-04-20 14:38:50,0015-04-20 17:38:50,14,17,2.35,Fri,ios,354533,369001,493904,1,1,0,0,0,0,1,0,0
1000169,2.89,0.00,0015-07-16 11:09:04,0015-07-16 13:09:04,11,13,1.75,Tue,ios,855917,664306,868085,0,1,0,0,0,0,0,0,0
1000170,9.06,0.00,0015-05-13 12:21:53,0015-05-13 16:21:53,12,16,3.16,Thu,android,723266,758780,399399,1,1,0,0,0,0,0,0,0
1000171,8.56,4.21,0015-09-13 12:20:18,0015-09-13 16:20:18,12,16,3.51,Wed,android,482746,250527,976902,1,2,0,0,1,0,0,0,0
1000172,7.13,0.00,0015-08-18 16:01:46,0015-08-18 19:01:46,16,19,2.71,Fri,android,934306,951880,144857,0,2,0,0,0,0,1,0,0
1000173,3.21,0.32,0015-04-05 11:45:27,0015-04-05 15:45:27,11,15,3.68,Thu,ios,825309,569886,868085,1,1,0,0,0,0,0,0,0
