esd,record_time,soc,pack_voltage (V),charge_current (A),max_cell_voltage (V),min_cell_voltage (V),max_temperature (℃),min_temperature (℃),available_energy (kw),available_capacity (Ah)
1000353,1.56E+12,43.5,330.4,-22.5,3.338,3.277,37.0,36.0,4.23,93.39
1000354,1.57E+12,27.8,329.2,-22.5,3.330,3.264,35.8,33.4,4.19,90.47
1000356,1.55E+12,46.7,351.6,-22.5,3.558,3.492,35.6,34.2,5.01,97.25
1000357,1.56E+12,60.3,326.4,-73.4,3.300,3.240,32.5,28.9,7.03,91.66
1000359,1.55E+12,41.1,334.8,-22.5,3.381,3.319,34.4,31.1,5.53,66.86
1000360,1.57E+12,17.4,357.3,-22.5,3.606,3.546,37.0,35.8,13.58,79.56
1000363,1.57E+12,71.9,326.6,-22.5,3.308,3.243,37.0,33.9,4.49,71.30
1000369,1.55E+12,43.2,324.7,-22.5,3.284,3.225,36.4,33.4,22.24,63.69
1000370,1.55E+12,37.9,338.8,-22.5,3.426,3.364,36.0,32.6,5.65,75.58
1000373,1.55E+12,49.6,344.2,-22.5,3.475,3.416,34.4,31.3,8.21,69.98
1000375,1.56E+12,62.6,353.1,-62.2,3.562,3.502,37.0,34.8,11.47,104.20
1000376,1.56E+12,18.3,345.7,-22.5,3.504,3.432,37.0,35.8,6.59,90.96
1000378,1.57E+12,24.3,348.2,-22.5,3.530,3.458,33.3,31.5,22.82,84.39
1000379,1.55E+12,72.5,341.8,-22.5,3.449,3.391,33.7,31.7,8.47,82.43
1000381,1.55E+12,56.8,340.1,-22.5,3.450,3.379,37.0,35.3,4.66,92.74
1000382,1.57E+12,67.8,324.6,-22.5,3.292,3.221,33.0,29.4,4.00,73.69
1000384,1.55E+12,26.5,329.4,-22.5,3.334,3.270,36.1,34.4,5.09,82.58
1000385,1.56E+12,46.7,347.8,-22.5,3.511,3.450,37.0,35.6,6.52,91.10
1000388,1.57E+12,18.5,331.5,-22.5,3.345,3.291,36.0,33.1,9.01,62.11
1000389,1.57E+12,51.9,329.2,-22.5,3.337,3.267,37.0,35.8,5.80,94.60
1000391,1.55E+12,39.3,352.8,-22.5,3.560,3.503,37.0,33.3,5.77,74.38
1000393,1.56E+12,51.0,343.8,-22.5,3.471,3.416,32.2,30.7,4.57,73.34
1000394,1.56E+12,52.4,352.2,-22.5,3.571,3.501,37.0,35.1,2.61,89.31
1000395,1.57E+12,52.7,323.8,-22.5,3.274,3.217,35.5,34.2,4.24,88.02
1000397,1.55E+12,68.2,332.2,-22.5,3.372,3.293,33.3,32.2,5.85,72.12
1000398,1.55E+12,29.2,331.4,-22.5,3.347,3.292,37.0,35.7,1.29,89.17
1000399,1.56E+12,68.3,332.3,-22.5,3.366,3.295,37.0,34.3,3.26,118.27
1000400,1.55E+12,54.6,329.2,-22.5,3.324,3.268,37.0,35.5,5.43,100.28
1000402,1.56E+12,70.7,356.1,-22.5,3.594,3.536,37.0,33.1,6.74,81.26
1000403,1.55E+12,27.7,331.0,-22.5,3.352,3.281,36.0,32.3,7.09,103.95
1000404,1.57E+12,53.6,329.8,-22.5,3.338,3.272,37.0,33.0,5.93,105.96
1000405,1.55E+12,49.7,345.4,-22.5,3.494,3.434,36.0,34.0,3.12,113.67
1000406,1.56E+12,47.8,354.2,-22.5,3.582,3.521,37.0,33.2,8.40,110.87
1000410,1.56E+12,41.0,342.8,-22.5,3.474,3.401,33.9,32.5,1.56,68.06
1000411,1.56E+12,60.5,327.3,-22.5,3.319,3.247,33.0,30.8,2.95,102.11
1000413,1.55E+12,54.6,355.4,-22.5,3.585,3.532,33.0,31.2,7.67,96.81
1000414,1.57E+12,39.2,327.3,-22.5,3.304,3.251,36.0,33.7,25.65,95.28
1000415,1.57E+12,24.0,339.0,-22.5,3.423,3.361,33.0,32.0,2.53,63.82
1000416,1.55E+12,55.7,332.3,-22.5,3.360,3.293,33.9,30.9,24.18,82.08
1000419,1.55E+12,54.4,329.3,-22.5,3.327,3.272,33.2,31.7,24.08,96.27
1000422,1.55E+12,37.2,339.1,-22.5,3.437,3.369,33.8,30.6,12.22,69.98
1000423,1.55E+12,69.3,346.6,-22.5,3.516,3.442,33.0,31.0,7.10,118.62
1000426,1.57E+12,23.3,329.3,-63.4,3.341,3.273,35.0,32.4,8.85,99.87
1000427,1.57E+12,32.4,332.7,-22.5,3.376,3.303,37.0,33.1,1.20,85.35
1000434,1.55E+12,53.8,330.5,-22.5,3.346,3.285,33.9,32.6,2.67,109.27
1000436,1.55E+12,30.4,324.1,-25.4,3.281,3.213,33.0,29.1,3.68,76.31
1000437,1.56E+12,27.2,338.3,-22.5,3.425,3.358,36.5,34.4,7.22,77.21
1000439,1.56E+12,33.9,351.0,-22.5,3.552,3.483,35.6,33.2,2.57,60.76
1000440,1.55E+12,71.8,329.7,-22.5,3.343,3.273,33.0,30.4,1.23,112.54
1000446,1.55E+12,27.0,334.1,-22.5,3.372,3.320,33.7,32.6,5.50,79.74
1000451,1.56E+12,65.5,353.7,-22.5,3.580,3.509,34.0,32.6,8.23,84.17
1000452,1.57E+12,52.0,328.1,-22.5,3.320,3.253,36.0,33.2,4.68,77.60
1000454,1.55E+12,66.8,333.7,-22.5,3.369,3.316,37.0,35.4,6.83,84.16
1000455,1.56E+12,51.2,336.4,-22.5,3.394,3.343,34.2,32.8,5.30,78.50
1000456,1.56E+12,74.6,334.2,-22.5,3.382,3.321,36.0,33.4,6.59,108.15
1000458,1.56E+12,66.7,346.5,-22.5,3.503,3.445,36.0,33.3,7.20,112.45
1000459,1.57E+12,68.6,327.6,-22.5,3.313,3.247,36.0,34.7,4.26,69.53
1000461,1.55E+12,39.3,325.2,-22.5,3.294,3.225,34.6,33.2,1.47,106.76
1000462,1.57E+12,50.0,340.1,-22.5,3.435,3.375,33.0,31.1,5.79,62.26
1000463,1.57E+12,31.4,330.6,-22.5,3.343,3.284,35.8,33.5,3.04,116.20
1000464,1.57E+12,65.2,336.8,-22.5,3.408,3.346,35.4,33.6,4.10,103.46
1000466,1.56E+12,17.7,335.3,-22.5,3.402,3.331,35.9,34.8,4.91,95.42
1000470,1.56E+12,47.2,356.6,-22.5,3.605,3.539,37.0,34.7,2.68,110.90
1000472,1.55E+12,21.0,331.9,-22.5,3.351,3.296,34.4,31.7,4.86,88.52
1000474,1.55E+12,48.5,339.1,-22.5,3.437,3.362,34.0,33.0,8.22,118.61
1000475,1.56E+12,51.0,344.7,-22.5,3.495,3.420,35.5,34.5,3.17,108.97
1000476,1.56E+12,58.1,356.7,-22.5,3.600,3.543,32.0,30.5,6.12,74.81
1000478,1.56E+12,63.8,351.4,-22.5,3.563,3.487,34.9,31.5,11.51,73.96
1000480,1.55E+12,75.0,327.9,-22.5,3.319,3.250,34.0,32.5,6.46,109.10
1000482,1.56E+12,43.7,330.2,-22.5,3.337,3.277,33.0,29.5,2.03,95.03
1000483,1.55E+12,72.6,328.9,-22.5,3.338,3.261,35.9,34.0,7.22,85.66
1000492,1.56E+12,53.4,345.6,-22.5,3.496,3.435,37.0,33.2,14.10,109.43
1000493,1.56E+12,50.0,341.6,-22.5,3.459,3.394,36.6,33.3,7.27,63.72
1000497,1.57E+12,31.7,338.8,-64.6,3.421,3.360,33.0,29.1,4.85,60.87
1000499,1.57E+12,70.8,327.4,-22.5,3.316,3.252,35.5,33.1,3.76,71.10
1000500,1.57E+12,39.2,329.5,-22.5,3.334,3.267,37.0,33.2,6.60,93.75
1000501,1.55E+12,26.3,332.4,-22.5,3.355,3.301,36.1,32.6,8.82,118.11
1000505,1.57E+12,25.9,336.1,-22.5,3.398,3.333,37.0,35.5,5.34,107.46
1000511,1.55E+12,29.5,339.4,-51.0,3.443,3.368,34.9,33.9,3.50,84.63
1000513,1.56E+12,65.3,329.9,-22.5,3.349,3.278,37.0,35.4,9.49,60.24
1000516,1.56E+12,44.0,339.7,-22.5,3.444,3.375,34.0,32.2,2.31,62.60
1000523,1.57E+12,56.8,329.2,-22.5,3.330,3.269,33.0,31.6,6.33,99.48
1000524,1.55E+12,45.5,349.0,-60.7,3.521,3.465,37.0,35.0,0.16,68.80
1000530,1.56E+12,15.8,347.5,-22.5,3.518,3.446,36.0,32.1,4.42,94.45
1000532,1.56E+12,23.6,329.1,-22.5,3.332,3.269,34.2,30.9,8.69,61.54
1000535,1.56E+12,40.6,324.4,-22.5,3.286,3.215,37.0,33.6,24.04,107.99
1000537,1.57E+12,37.5,330.6,-22.5,3.344,3.284,36.1,33.6,3.40,100.96
1000538,1.55E+12,63.7,323.9,-22.5,3.275,3.215,36.0,32.6,25.27,61.38
1000541,1.57E+12,35.5,339.6,-22.5,3.433,3.370,35.6,33.9,6.06,62.67
1000554,1.56E+12,68.0,331.8,-22.5,3.353,3.290,37.0,33.4,24.24,69.64
1000557,1.55E+12,43.6,336.2,-22.5,3.399,3.339,34.9,33.2,5.80,84.40
1000562,1.56E+12,58.5,327.2,-22.5,3.304,3.245,37.0,33.8,4.14,83.73
1000564,1.57E+12,45.0,347.8,-22.5,3.515,3.451,37.0,35.0,3.30,76.37
1000565,1.55E+12,70.8,343.4,-22.5,3.465,3.411,33.0,31.1,3.27,99.14
1000566,1.56E+12,61.9,326.2,-22.5,3.294,3.241,33.0,32.0,0.83,62.08
1000567,1.57E+12,25.4,336.2,-22.5,3.406,3.342,37.0,34.5,0.51,66.54
1000569,1.56E+12,21.3,334.2,-22.5,3.379,3.318,33.0,29.9,4.27,69.52
1000576,1.55E+12,24.1,331.3,-22.5,3.363,3.289,33.0,31.9,6.80,95.09
1000579,1.56E+12,25.8,327.6,-22.5,3.312,3.247,35.0,32.7,2.36,86.57
1000582,1.57E+12,26.6,331.6,-22.5,3.349,3.292,37.0,35.7,22.90,68.11
1000584,1.57E+12,39.1,351.6,-22.5,3.558,3.487,33.0,30.6,2.96,101.08
1000585,1.56E+12,53.7,333.9,-22.5,3.384,3.313,33.2,29.8,2.15,111.77
1000590,1.56E+12,74.0,336.7,-22.5,3.402,3.343,36.3,34.0,4.10,76.42
1000591,1.55E+12,68.4,330.0,-22.5,3.336,3.276,33.0,29.5,23.20,101.35
1000593,1.56E+12,42.8,323.7,-22.5,3.274,3.216,37.0,35.3,1.36,84.56
1000594,1.57E+12,18.0,351.1,-22.5,3.559,3.488,35.5,34.3,7.16,70.58
1000595,1.56E+12,44.5,350.1,-22.5,3.540,3.479,35.3,33.9,6.27,111.30
1000597,1.56E+12,43.5,334.3,-22.5,3.382,3.319,33.5,30.3,22.65,76.67
1000599,1.56E+12,66.4,341.4,-22.5,3.450,3.392,32.3,31.3,5.25,73.68
1000600,1.55E+12,18.2,342.0,-22.5,3.462,3.400,37.0,33.8,11.07,101.16
1000602,1.55E+12,54.9,343.4,-22.5,3.474,3.407,33.8,31.7,22.04,65.10
1000603,1.55E+12,27.2,326.0,-22.5,3.291,3.233,33.4,29.6,2.73,92.41
1000607,1.55E+12,68.4,328.1,-22.5,3.330,3.255,32.5,31.0,5.38,75.99
1000610,1.57E+12,53.7,358.6,-22.5,3.633,3.561,32.6,31.1,12.08,67.79
1000612,1.55E+12,36.1,328.4,-22.5,3.317,3.261,34.5,32.5,6.75,77.23
1000614,1.55E+12,35.8,347.3,-22.5,3.510,3.450,37.0,35.8,10.41,71.38
1000615,1.55E+12,48.2,342.9,-22.5,3.469,3.407,37.0,35.8,5.97,80.69
1000616,1.56E+12,32.6,333.4,-22.5,3.379,3.306,33.8,30.7,5.31,77.93
1000618,1.55E+12,40.7,337.2,-22.5,3.412,3.348,36.5,34.6,4.32,87.34
1000620,1.57E+12,43.8,348.3,-22.5,3.521,3.455,33.6,32.2,6.27,69.58
1000622,1.56E+12,36.2,349.0,-22.5,3.531,3.464,32.4,29.8,3.92,65.57
1000624,1.55E+12,67.8,337.9,-33.3,3.421,3.358,36.7,33.1,3.99,94.05
1000625,1.57E+12,30.0,323.5,-22.5,3.274,3.210,32.7,29.7,5.76,63.94
